Date,Idx_Water,Idx_House,Idx_Park,Temp_Avg,Temp_Min,Temp_Max,Rain_mm,Humidity_Avg,Wind_Avg,Rained
2026-05-01,31.6,15.2,12.4,17.8,13.6,24.3,0.0,43.5,3.6,Dry
2026-05-02,51.1,15.6,12.7,17.3,12.8,22.4,1.4,65.1,2.1,Rain
2026-05-03,20.2,11.7,9.0,13.0,11.7,15.5,14.8,87.5,2.0,Rain
2026-05-04,30.9,10.8,7.5,13.7,8.1,19.9,1.8,56.1,3.2,Rain
2026-05-05,30.9,16.6,13.0,14.5,8.4,21.2,0.0,49.8,2.4,Dry
2026-05-06,44.7,17.9,14.0,16.9,9.1,23.8,0.0,49.1,2.5,Dry
2026-05-07,41.9,19.2,17.9,15.4,13.0,20.3,2.7,70.9,2.6,Rain
2026-05-08,35.5,11.8,8.0,15.2,9.8,20.4,0.0,50.9,3.2,Dry
2026-05-09,56.2,23.0,19.3,15.9,9.7,22.7,0.0,40.5,2.2,Dry
2026-05-10,54.9,20.0,16.8,17.1,10.0,24.5,0.0,40.9,2.4,Dry
2026-05-11,61.4,22.8,20.4,16.8,12.9,20.9,0.9,71.9,2.0,Rain
2026-05-12,45.1,17.1,14.9,19.1,15.4,24.5,18.1,74.1,1.8,Rain
2026-05-13,68.0,19.8,18.4,19.7,13.4,26.2,0.0,64.0,2.0,Dry
2026-05-14,70.9,23.6,23.9,23.5,15.1,31.5,0.0,54.0,1.7,Dry
2026-05-15,97.3,31.0,33.7,24.2,18.3,31.3,0.0,52.6,1.9,Dry
2026-05-16,100.0,28.8,30.1,23.1,17.5,29.9,0.0,51.5,2.2,Dry
2026-05-17,100.0,28.1,28.3,22.6,16.2,29.4,0.0,46.8,1.9,Dry
2026-05-18,96.9,28.4,28.7,23.0,15.7,30.1,0.0,41.4,2.1,Dry
2026-05-19,100.0,32.2,32.8,22.1,19.8,25.5,0.0,52.6,1.9,Dry
2026-05-20,100.0,29.6,28.1,16.9,14.8,21.8,63.1,84.3,3.6,Rain
2026-05-21,98.6,23.7,22.2,17.0,14.7,20.2,14.0,83.1,3.4,Rain
2026-05-22,83.6,23.0,21.1,20.6,15.1,27.0,0.0,48.6,2.9,Dry
2026-05-23,100.0,33.5,34.2,19.2,16.0,24.7,0.0,56.9,2.2,Dry
2026-05-24,100.0,28.9,27.9,22.1,14.8,29.2,0.0,61.0,1.8,Dry
2026-05-25,100.0,32.3,35.0,24.4,17.9,29.8,0.0,63.6,1.9,Dry
2026-05-26,100.0,33.8,36.5,24.9,21.8,29.0,0.6,70.6,1.9,Rain
2026-05-27,100.0,33.1,34.7,22.3,20.1,25.1,2.5,78.4,2.5,Rain
2026-05-28,100.0,31.1,31.9,20.9,17.6,26.5,3.5,81.4,2.4,Rain
2026-05-29,100.0,27.5,28.4,21.5,16.6,26.9,0.0,62.8,2.4,Dry
2026-05-30,100.0,33.9,34.1,22.5,15.8,29.0,0.0,59.3,2.3,Dry
2026-05-31,100.0,35.8,37.9,24.3,17.5,30.9,0.0,44.5,1.8,Dry
2026-06-01,100.0,41.9,43.4,22.9,18.3,28.7,0.0,45.4,1.9,Dry
2026-06-02,100.0,35.9,35.4,25.4,17.7,31.8,0.0,53.0,1.7,Dry
2026-06-03,100.0,34.7,37.9,25.5,20.7,30.8,0.0,59.0,2.0,Dry
2026-06-04,100.0,33.2,33.8,23.6,20.0,28.4,2.9,72.0,2.4,Rain
2026-06-05,100.0,28.5,27.5,20.6,17.4,25.2,0.0,64.3,3.0,Dry
2026-06-06,100.0,33.5,24.5,22.3,15.6,27.5,0.0,52.8,1.9,Dry
2026-06-07,100.0,33.3,27.0,22.1,19.7,24.9,0.0,55.6,2.4,Dry
2026-06-08,100.0,32.1,23.3,21.1,16.9,26.4,0.0,63.0,2.6,Dry
2026-06-09,100.0,37.9,31.9,21.6,16.1,27.7,0.1,53.4,2.1,Rain
2026-06-10,100.0,26.9,21.0,21.6,17.9,26.9,0.6,63.4,2.5,Rain
2026-06-11,100.0,31.3,23.9,21.0,16.2,26.7,0.0,65.4,2.5,Dry
2026-06-12,100.0,23.1,16.1,22.4,17.0,27.7,0.0,59.5,2.4,Dry
2026-06-13,100.0,32.8,26.3,24.1,16.7,31.9,0.0,51.4,1.8,Dry
2026-06-14,100.0,28.8,29.1,23.6,20.6,31.3,2.4,62.9,1.7,Rain
2026-06-15,100.0,40.0,43.0,25.4,19.2,32.6,0.0,55.9,1.8,Dry
2026-06-16,100.0,45.7,46.7,27.0,21.1,33.2,0.0,52.5,1.7,Dry
2026-06-17,100.0,44.9,46.5,26.9,22.0,32.8,0.0,53.1,2.2,Dry
2026-06-18,100.0,38.9,40.7,27.2,23.0,32.3,0.0,55.5,2.3,Dry
2026-06-19,100.0,48.4,49.8,26.4,22.6,34.0,8.0,68.5,2.1,Rain
2026-06-20,100.0,40.0,44.2,21.3,20.5,23.0,71.7,90.5,2.9,Rain
2026-06-21,100.0,32.3,23.2,23.7,19.7,28.1,0.0,65.4,1.7,Dry
2026-06-22,100.0,46.8,44.6,24.4,21.3,28.3,0.0,67.8,1.9,Dry
2026-06-23,100.0,44.2,41.5,25.8,20.9,30.9,0.0,56.9,2.4,Dry
2026-06-24,100.0,53.5,52.9,24.3,19.2,28.9,0.0,52.5,2.3,Dry
2026-06-25,100.0,38.8,36.0,22.3,19.6,24.0,0.3,67.1,2.1,Rain
2026-06-26,100.0,38.6,27.4,23.5,17.2,30.0,0.0,63.6,1.9,Dry
