Date,Idx_Water,Idx_House,Idx_Park
2026-05-01,31.6,15.2,12.4
2026-05-02,51.1,15.6,12.7
2026-05-03,20.2,11.7,9.0
2026-05-04,30.9,10.8,7.5
2026-05-05,30.9,16.6,13.0
2026-05-06,44.7,17.9,14.0
2026-05-07,41.9,19.2,17.9
2026-05-08,35.5,11.8,8.0
2026-05-09,56.2,23.0,19.3
2026-05-10,54.9,20.0,16.8
2026-05-11,61.4,22.8,20.4
2026-05-12,45.1,17.1,14.9
2026-05-13,68.0,19.8,18.4
2026-05-14,70.9,23.6,23.9
2026-05-15,97.3,31.0,33.7
2026-05-16,100.0,28.8,30.1
2026-05-17,100.0,28.1,28.3
2026-05-18,96.9,28.4,28.7
2026-05-19,100.0,32.2,32.8
2026-05-20,100.0,29.6,28.1
2026-05-21,98.6,23.7,22.2
2026-05-22,83.6,23.0,21.1
2026-05-23,100.0,33.5,34.2
2026-05-24,100.0,28.9,27.9
2026-05-25,100.0,32.3,35.0
2026-05-26,100.0,33.8,36.5
2026-05-27,100.0,33.1,34.7
2026-05-28,100.0,31.1,31.9
2026-05-29,100.0,27.5,28.4
2026-05-30,100.0,33.9,34.1
2026-05-31,100.0,35.8,37.9
2026-06-01,100.0,41.9,43.4
2026-06-02,100.0,35.9,35.4
2026-06-03,100.0,34.7,37.9
2026-06-04,100.0,33.2,33.8
2026-06-05,100.0,28.5,27.5
2026-06-06,100.0,33.5,24.5
2026-06-07,100.0,33.3,27.0
2026-06-08,100.0,32.1,23.3
2026-06-09,100.0,37.9,31.9
2026-06-10,100.0,26.9,21.0
2026-06-11,100.0,31.3,23.9
2026-06-12,100.0,23.1,16.1
2026-06-13,100.0,32.8,26.3
2026-06-14,100.0,28.8,29.1
2026-06-15,100.0,40.0,43.0
2026-06-16,100.0,45.7,46.7
2026-06-17,100.0,44.9,46.5
2026-06-18,100.0,38.9,40.7
2026-06-19,100.0,48.4,49.8
2026-06-20,100.0,40.0,44.2
2026-06-21,100.0,32.3,23.2
2026-06-22,100.0,46.8,44.6
2026-06-23,100.0,44.2,41.5
2026-06-24,100.0,53.5,52.9
2026-06-25,100.0,38.8,36.0
2026-06-26,100.0,38.6,27.4
