Date,Temp_Avg,Temp_Min,Temp_Max,Rain_mm,Humidity_Avg,Wind_Avg,Rained
2026-05-01,17.8,13.6,24.3,0.0,43.5,3.6,Dry
2026-05-02,17.3,12.8,22.4,1.4,65.1,2.1,Rain
2026-05-03,13.0,11.7,15.5,14.8,87.5,2.0,Rain
2026-05-04,13.7,8.1,19.9,1.8,56.1,3.2,Rain
2026-05-05,14.5,8.4,21.2,0.0,49.8,2.4,Dry
2026-05-06,16.9,9.1,23.8,0.0,49.1,2.5,Dry
2026-05-07,15.4,13.0,20.3,2.7,70.9,2.6,Rain
2026-05-08,15.2,9.8,20.4,0.0,50.9,3.2,Dry
2026-05-09,15.9,9.7,22.7,0.0,40.5,2.2,Dry
2026-05-10,17.1,10.0,24.5,0.0,40.9,2.4,Dry
2026-05-11,16.8,12.9,20.9,0.9,71.9,2.0,Rain
2026-05-12,19.1,15.4,24.5,18.1,74.1,1.8,Rain
2026-05-13,19.7,13.4,26.2,0.0,64.0,2.0,Dry
2026-05-14,23.5,15.1,31.5,0.0,54.0,1.7,Dry
2026-05-15,24.2,18.3,31.3,0.0,52.6,1.9,Dry
2026-05-16,23.1,17.5,29.9,0.0,51.5,2.2,Dry
2026-05-17,22.6,16.2,29.4,0.0,46.8,1.9,Dry
2026-05-18,23.0,15.7,30.1,0.0,41.4,2.1,Dry
2026-05-19,22.1,19.8,25.5,0.0,52.6,1.9,Dry
2026-05-20,16.9,14.8,21.8,63.1,84.3,3.6,Rain
2026-05-21,17.0,14.7,20.2,14.0,83.1,3.4,Rain
2026-05-22,20.6,15.1,27.0,0.0,48.6,2.9,Dry
2026-05-23,19.2,16.0,24.7,0.0,56.9,2.2,Dry
2026-05-24,22.1,14.8,29.2,0.0,61.0,1.8,Dry
2026-05-25,24.4,17.9,29.8,0.0,63.6,1.9,Dry
2026-05-26,24.9,21.8,29.0,0.6,70.6,1.9,Rain
2026-05-27,22.3,20.1,25.1,2.5,78.4,2.5,Rain
2026-05-28,20.9,17.6,26.5,3.5,81.4,2.4,Rain
2026-05-29,21.5,16.6,26.9,0.0,62.8,2.4,Dry
2026-05-30,22.5,15.8,29.0,0.0,59.3,2.3,Dry
2026-05-31,24.3,17.5,30.9,0.0,44.5,1.8,Dry
2026-06-01,22.9,18.3,28.7,0.0,45.4,1.9,Dry
2026-06-02,25.4,17.7,31.8,0.0,53.0,1.7,Dry
2026-06-03,25.5,20.7,30.8,0.0,59.0,2.0,Dry
2026-06-04,23.6,20.0,28.4,2.9,72.0,2.4,Rain
2026-06-05,20.6,17.4,25.2,0.0,64.3,3.0,Dry
2026-06-06,22.3,15.6,27.5,0.0,52.8,1.9,Dry
2026-06-07,22.1,19.7,24.9,0.0,55.6,2.4,Dry
2026-06-08,21.1,16.9,26.4,0.0,63.0,2.6,Dry
2026-06-09,21.6,16.1,27.7,0.1,53.4,2.1,Rain
2026-06-10,21.6,17.9,26.9,0.6,63.4,2.5,Rain
2026-06-11,21.0,16.2,26.7,0.0,65.4,2.5,Dry
2026-06-12,22.4,17.0,27.7,0.0,59.5,2.4,Dry
2026-06-13,24.1,16.7,31.9,0.0,51.4,1.8,Dry
2026-06-14,23.6,20.6,31.3,2.4,62.9,1.7,Rain
2026-06-15,25.4,19.2,32.6,0.0,55.9,1.8,Dry
2026-06-16,27.0,21.1,33.2,0.0,52.5,1.7,Dry
2026-06-17,26.9,22.0,32.8,0.0,53.1,2.2,Dry
2026-06-18,27.2,23.0,32.3,0.0,55.5,2.3,Dry
2026-06-19,26.4,22.6,34.0,8.0,68.5,2.1,Rain
2026-06-20,21.3,20.5,23.0,71.7,90.5,2.9,Rain
2026-06-21,23.7,19.7,28.1,0.0,65.4,1.7,Dry
2026-06-22,24.4,21.3,28.3,0.0,67.8,1.9,Dry
2026-06-23,25.8,20.9,30.9,0.0,56.9,2.4,Dry
2026-06-24,24.3,19.2,28.9,0.0,52.5,2.3,Dry
2026-06-25,22.3,19.6,24.0,0.3,67.1,2.1,Rain
2026-06-26,23.5,17.2,30.0,0.0,63.6,1.9,Dry
